locus_tag	gene	product
boryong_00005	dnaA	chromosomal replication initiation protein DnaA
boryong_00010	virB7	DNA polymerase III subunit beta
boryong_00015	virB8-2	type VI secretion protein
boryong_00020	virB9-2	P-type conjugative transfer protein VirB9
boryong_00025	virB10	type VI secretion protein
boryong_00030	virB11	type VI secretion protein
boryong_00035	virD4	type IV secretion system protein VirD4
boryong_00040	NA	hypothetical protein
boryong_00045	NA	IS5 family transposase ISOt6
boryong_00050	NA	hypothetical protein
boryong_00055	NA	hypothetical protein
boryong_00060	NA	hypothetical protein
boryong_00065	NA	reverse transcriptase domain-containing protein
boryong_00070	NA	hypothetical protein
boryong_00075	NA	hypothetical protein
boryong_00080	NA	DDE superendonuclease family protein
boryong_00085	NA	DDE superendonuclease family protein
boryong_00090	NA	hypothetical protein
boryong_00095	NA	FAD binding domain of DNA photolyase family protein
boryong_00100	trxB	thioredoxin-disulfide reductase
boryong_00105	yfdV	AEC family transporter
boryong_00110	tolB	translocation protein TolB
boryong_00115	lpd	dihydrolipoyl dehydrogenase
boryong_00120	ubiE	SAM-dependent methyltransferase
boryong_00125	tsa22	major outer membrane protein TSA22
boryong_00130	traA	conjugal transfer protein TraA
boryong_00135	NA	hypothetical protein
boryong_00140	NA	Conjugal transfer TraD family protein
boryong_00145	NA	tetratricopeptide repeat protein
boryong_00150	NA	tetratricopeptide repeat protein
boryong_00155	tnp-IS110	IS110 family transposase
boryong_00160	nrdA	ribonucleotide-diphosphate reductase subunit alpha
boryong_00165	nrdB	ribonucleotide-diphosphate reductase subunit beta
boryong_00170	NA	Replicative DNA helicase
boryong_00175	NA	DNA helicase
boryong_00180	NA	hypothetical protein
boryong_00185	NA	hypothetical protein
boryong_00190	NA	Putative integrase
boryong_00195	NA	site-specific integrase
boryong_00200	traL	Uncharacterised protein
boryong_00205	traE	conjugative transfer protein
boryong_00210	NA	hypothetical protein
boryong_00215	NA	Conjugal transfer protein
boryong_00220	NA	conjugal transfer protein
boryong_00225	NA	Conjugal transfer protein
boryong_00230	NA	hypothetical protein
boryong_00235	NA	transposase
boryong_00240	spoT	(p)ppGpp synthase/hydrolase, HD superfamily
boryong_00245	baeS	Signal transduction histidine kinase
boryong_00250	NA	hypothetical protein
boryong_00255	NA	hypothetical protein
boryong_00260	NA	Putative transposase
boryong_00265	NA	IS5 family transposase ISOt6
boryong_00270	NA	DDE superendonuclease family protein
boryong_00275	NA	hypothetical protein
boryong_00280	NA	Repeat-containing protein D
boryong_00285	amiR	N-acetylmuramoyl-L-alanine amidase
boryong_00290	NA	hypothetical protein
boryong_00295	NA	Ankyrin repeat protein with 1d ankyrin repeats
boryong_00300	NA	DDE superendonuclease family protein
boryong_00305	NA	DDE superendonuclease family protein
boryong_00310	NA	Arm DNA-binding domain-containing protein
boryong_00315	lipB	lipase LipB
boryong_00320	NA	Integrase
boryong_00325	NA	hypothetical protein
boryong_00330	ykfC	Retron-type reverse transcriptase
boryong_00335	NA	DDE superendonuclease family protein
boryong_00340	NA	DDE superendonuclease family protein
boryong_00345	NA	Phage-related integrase
boryong_00350	traL	Uncharacterised protein
boryong_00355	traE	conjugative transfer protein
